City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Soure,BR,2022-07-14 08:52:23,-0.7167,-48.5233,77.83,87,74,9.37
192,Dalby,AU,2022-07-14 08:52:24,-27.1833,151.2667,50.99,61,8,10.8
193,Karratha,AU,2022-07-14 08:52:24,-20.7377,116.8463,72.55,46,70,8.9
194,Kommunisticheskiy,RU,2022-07-14 08:52:25,61.6789,64.4819,88.27,29,37,6.4
195,Hellvik,NO,2022-07-14 08:52:25,59.9156,5.781,54.0,88,100,4.0
196,College,US,2022-07-14 08:45:39,64.8569,-147.8028,57.29,75,40,0.0
197,Taoudenni,ML,2022-07-14 08:52:26,22.6783,-3.9836,107.47,6,7,14.97
198,Williston,US,2022-07-14 08:47:44,48.147,-103.618,74.03,73,100,5.99
199,Nemuro,JP,2022-07-14 08:52:26,43.3236,145.575,60.6,93,100,8.88
200,Sitka,US,2022-07-14 08:45:42,57.0531,-135.33,55.29,88,75,0.0
201,Urucara,BR,2022-07-14 08:52:27,-2.5364,-57.76,72.57,97,75,2.39
202,Hirado,JP,2022-07-14 08:52:27,33.3597,129.5531,86.4,90,46,16.49
203,Samana,DO,2022-07-14 08:52:27,19.2056,-69.3369,76.37,89,81,7.23
204,Russell,US,2022-07-14 08:52:28,32.3502,-85.1999,74.48,98,96,2.86
205,Volchansk,RU,2022-07-14 08:52:28,59.9378,60.081,87.33,36,15,1.41
206,Tortoli,IT,2022-07-14 08:52:29,39.9256,9.6572,84.65,46,0,6.69
207,Pevek,RU,2022-07-14 08:52:29,69.7008,170.3133,36.03,83,38,19.13
208,Khatanga,RU,2022-07-14 08:52:30,71.9667,102.5,50.0,60,100,9.15
209,Kavieng,PG,2022-07-14 08:43:02,-2.5744,150.7967,80.33,80,100,7.34
210,Helong,CN,2022-07-14 08:52:30,42.5397,128.9972,67.26,97,99,2.42
211,Yurginskoye,RU,2022-07-14 08:52:30,56.8189,67.3921,82.89,53,9,10.6
212,Dikson,RU,2022-07-14 08:52:31,73.5069,80.5464,43.2,78,78,11.63
213,Anchorage,US,2022-07-14 08:40:00,61.2181,-149.9003,56.93,92,100,8.05
214,Longyan,CN,2022-07-14 08:52:31,25.1072,117.0225,89.55,58,100,1.86
215,Kenmore,US,2022-07-14 08:52:32,47.7573,-122.244,59.27,79,0,8.05
216,Mehamn,NO,2022-07-14 08:52:32,71.0357,27.8492,58.95,88,40,5.75
217,Palmer,US,2022-07-14 08:50:34,42.1584,-72.3287,66.61,85,94,1.3
218,Sterling,US,2022-07-14 08:48:55,39.0062,-77.4286,71.44,92,20,0.0
219,Constitucion,CL,2022-07-14 08:44:16,-35.3333,-72.4167,40.93,90,80,5.14
220,Kiunga,PG,2022-07-14 08:52:33,-6.1219,141.2906,73.47,98,89,3.8
221,Bandarbeyla,SO,2022-07-14 08:52:33,9.4942,50.8122,92.26,42,75,31.07
222,Fortuna,US,2022-07-14 08:52:34,40.5982,-124.1573,56.93,89,100,1.99
223,Cairns,AU,2022-07-14 08:52:34,-16.9167,145.7667,60.75,59,72,4.61
224,Prince Rupert,CA,2022-07-14 08:50:07,54.3161,-130.3201,53.29,90,100,20.71
225,Atambua,ID,2022-07-14 08:52:35,-9.1061,124.8925,73.76,68,33,6.8
226,Amapa,BR,2022-07-14 08:52:35,1.0,-52.0,70.39,99,97,0.92
227,Caravelas,BR,2022-07-14 08:53:35,-17.7125,-39.2481,68.94,91,44,1.66
228,Roma,US,2022-07-14 08:53:36,43.2128,-75.4557,62.67,96,25,2.59
229,Daoukro,CI,2022-07-14 08:53:36,7.0591,-3.9631,74.73,92,100,4.76
230,Qasigiannguit,GL,2022-07-14 08:53:36,68.8193,-51.1922,38.23,83,65,2.59
231,Hermiston,US,2022-07-14 08:53:37,45.8404,-119.2895,71.17,47,0,1.99
232,San Patricio,US,2022-07-14 08:53:37,28.017,-97.5169,85.84,85,59,5.37
233,Graham,US,2022-07-14 08:53:38,47.0529,-122.2943,57.18,87,0,1.01
234,Saldanha,ZA,2022-07-14 08:53:38,-33.0117,17.9442,55.45,85,88,2.24
235,Lyantonde,UG,2022-07-14 08:53:38,-0.4031,31.1572,82.0,30,96,11.16
236,Provideniya,RU,2022-07-14 08:53:39,64.3833,-173.3,52.63,67,100,3.06
237,Kahului,US,2022-07-14 08:53:39,20.8947,-156.47,78.82,79,20,14.97
238,Port-Cartier,CA,2022-07-14 08:53:40,50.0334,-66.8654,50.11,79,5,5.17
239,Esperance,AU,2022-07-14 08:53:40,-33.8667,121.9,68.16,49,100,10.74
240,Itarema,BR,2022-07-14 08:53:40,-2.9248,-39.9167,75.67,86,7,13.33
241,Poum,NC,2022-07-14 08:53:41,-20.2333,164.0167,73.42,58,100,20.38
242,Umm Kaddadah,SD,2022-07-14 08:53:41,13.6017,26.6876,87.19,46,100,11.68
243,Padang,ID,2022-07-14 08:53:41,-0.9492,100.3543,86.05,78,99,3.74
244,Nuevo Progreso,MX,2022-07-14 08:53:42,23.1667,-97.95,79.47,70,65,4.14
245,Ukiah,US,2022-07-14 08:53:42,39.1502,-123.2078,66.36,77,0,0.0
246,Lagoa,PT,2022-07-14 08:53:42,39.05,-27.9833,68.9,90,100,13.13
247,Wajima,JP,2022-07-14 08:53:43,37.4,136.9,75.88,94,75,4.61
248,San Jose,US,2022-07-14 08:50:07,37.3394,-121.895,63.0,85,0,5.75
249,Martapura,ID,2022-07-14 08:53:43,-3.4167,114.85,86.09,70,20,8.05
250,Makokou,GA,2022-07-14 08:53:44,0.5738,12.8642,73.74,88,100,4.21
251,Awjilah,LY,2022-07-14 08:53:44,29.1081,21.2869,87.3,31,0,10.2
252,Kailua,US,2022-07-14 08:48:56,21.4022,-157.7394,78.78,83,20,11.5
253,Nouadhibou,MR,2022-07-14 08:53:44,20.931,-17.0347,67.98,94,3,18.41
254,Nuuk,GL,2022-07-14 08:50:21,64.1835,-51.7216,47.88,76,73,11.01
255,Sabzevar,IR,2022-07-14 08:53:45,36.2126,57.6819,92.48,15,0,18.41
256,Victoria,HK,2022-07-14 08:49:12,22.2855,114.1577,92.97,73,94,5.99
257,Markova,UA,2022-07-14 08:53:45,48.6758,24.4138,78.53,38,91,12.82
258,Kapoeta,SS,2022-07-14 08:53:46,4.7717,33.5903,89.51,31,74,11.5
259,Lokomotivnyy,RU,2022-07-14 08:53:46,53.0118,60.5684,86.68,40,4,8.08
260,Mouila,GA,2022-07-14 08:53:46,-1.8685,11.0559,76.91,83,100,2.8
261,Huilong,CN,2022-07-14 08:53:47,31.8111,121.655,88.68,74,91,11.01
262,Mundo Nuevo,MX,2022-07-14 08:53:47,18.7,-95.5,78.04,88,100,7.2
263,Pitimbu,BR,2022-07-14 08:53:47,-7.4706,-34.8086,72.19,84,5,13.0
264,Naze,JP,2022-07-14 08:53:48,28.3667,129.4833,85.12,80,62,9.26
265,Evanston,US,2022-07-14 08:52:31,42.0411,-87.6901,63.97,83,0,1.01
266,Hof,DE,2022-07-14 08:53:48,50.3167,11.9167,76.46,61,0,2.3
267,Cayenne,GF,2022-07-14 08:53:49,4.9333,-52.3333,75.24,1,100,1.14
268,Mitu,CO,2022-07-14 08:53:49,1.1983,-70.1733,69.48,99,100,1.88
269,Katsuura,JP,2022-07-14 08:53:49,35.1333,140.3,76.01,91,100,8.01
270,Bako,ET,2022-07-14 08:53:50,5.7833,36.5667,75.22,46,96,3.83
271,Almeirim,BR,2022-07-14 08:53:50,-1.5233,-52.5817,71.96,98,82,3.6
